name,parent,value
Origin,,
restaurants,Origin,
markets,Origin,
utilities,Origin,
leisure,Origin,
clothing,Origin,
meal_inexpensive_restaurant,restaurants,11.48
meal_mid_range_restaurant,restaurants,36.68
mcdonalds_combo,restaurants,7.66
domestic_beer,restaurants,3.19
imported_beer,restaurants,4.47
cappucino,restaurants,2.43
coke_pepsi,restaurants,1.5
water,restaurants,1.08
milk,markets,2.06
bread,markets,1.8
eggs,markets,2.17
cheese,markets,7.53
chicken,markets,8.61
banana,markets,0.97
tomato,markets,2.72
potato,markets,1.74
lettuce,markets,1.37
water,markets,1.35
beer,markets,1.66
cigarettes,markets,9.57
basic,utilities,105.26
prepaid_mobile,utilities,0.24
internet,utilities,52.49
fitness_club,leisure,26.36
tennis_court,leisure,11.48
cinema,leisure,9.25
pair_of_jeans,clothing,37.93
summer_dress,clothing,32.04
running_shoes,clothing,65.25
business_shoes,clothing,80.64
